Provenance,English,Somali,Somali italic?
,Linear equation,Isle'eg toosan,
,Simultaneous equation,Isle'egyo wadajira,
,Factorise,Isree,
,Variation,Isrogrogid,
,Equivalence,Isudhignaan,
,Addition,Isugeyn,
,Repeated addition,Isugeyn noqnoqota ah,
,Complementary angles,Isujarid xagleed,
,Union of sets,Isutag Urur,
,Inverse,Isweydaar,
,Continuous,Is-haysta,
,Diagram,Jaantus,
,Invalid,Jaban,
,Result,Jadeeyo,
,Fraction (proper),Jajab,
,Fraction (improper),Jajab ma qumane,
,Decimal (fraction),Jajab tobanle,
,Oblique,Janjeedhe,
,Answer,Jawaab,
,Cross section,Jeex-gudub,
,Exponent,Jibbaar,
,Formula,Jidka,
,Horizontal,Jiifteed,
,Bar,Jiitin,
p-2-15,Size,Jimidh baaxaad,
,Column,Joogutax,
,Geometry,Joomatri,Y
,Greater than,Ka badan,
,Eliminations,Ka bixin,
,Minus,Ka goo,
,Opposite,Ka horjeed,
,Greater than,Ka weyn,
,Less than,Ka yar,
,Assume,"Kadhig, ka soo qaad",
,Bisect,Kala badh,
,Bisector,Kala badhe,
,Calculate,Kala hormarin,
,Subtraction,Kalagoyn,
,Calculus,Kalkulas,Y
,Increment,Karodh,
,Magnitude,Ka-xaad,
,Loss,Khasaare,
,Group,Koox,
,Increasing,Kordhaya,
,Rate,Korsocod,
,Co-sine,Kosayn,Y
,Co-tangent,Kotaanjent,Y
,Unit,Kowaad,
,Substitute,Ku bedel,
,Corresponds,Ku beegan tahay,
,Add,Kudar,
,Plus,Kudar,
,Multiply,Ku dhufo,
,Member of a set,Ku tirsane,
,Sphere,Kubbad,
,Coordinate,Kulan,
,Coordinate,Kulan,
,Focus,Kulmis,
,Square,Labajibaar,
,Square (fig),Labajibaaran,
,Multiplicand,Lagu dhufte,
p-2-16,Rationalise,Lakabee,
,Binary operation,Lamaaneyaha xisaab-falka,
,Ordered pair,Lammaane horsan,
,Rectangle,Laydi,
,Exercise,Laylis,
,Vector,Leeb,
,Anti-clockwise,Lid saacad wareeg,
,Antilogarithms,Lidlog,Y
,Logarithm,Logaridam,Y
,Logic,Loojik,Y
,Profit,Macaash,
,Independent,Madaxbanaane,
,Independent,Madaxbanaane,
,Unique,Madi,
,Constant,Madoorsame,
,For instance,Masalan,
,Ruler,Mastarad,
,Circumference,Meeris,
,Currency,Mood,
,Volume,Mug,
,Illustrate,Muuji,
,Index,Muujiye,
,Sample,Muunad,
,Shape,Qaab,
,Regular,Qaabsan,
,Capacity,Qaad,
,Arc,Qaanso,
,Rhombus,Qardhaas,
,Quotient,Qayb,
,Divide,Qaybin,
,Divisor,Qaybshe,
,Define,Qeex,
,Definition,Qeexid,
,Cost price,Qiimaha gadashada,
,Evaluate,Qiiman,
,Value,Qiime,
p-2-17,Absolute value,Qiimo sugan,
,Critical,Qiiraqire,
,Scale,Qiyaas,
,Segment of circle,Qoqob goobo,
,Depth,Qoto,
,Find,Raadi,
,Principal,Raasamaal,
,Combination,Racayn,
,Frequency,Rakaad,
,Arrangement,Ratibaad,
,Delete,Reeb,
,Converse,Rog,
,Decimal place,Rugta tobanle,
,Clockwise,Saacad wareeg,
,Analyse,Saafan,
,Analysis,Saafid,
,Ratio,Saami,
,Trisect,Saddex goys,
,Cube,Saddex jibbaar,
,Cubic,Saddex jibbaarane,
,Triangle,Saddexagal,
,Obtuse-angled triangle,Saddexagal daacsan,
,Acute-angled triangle,Saddexagal fiiqan,
,Equilateral triangle,Saddexagal isleeke,
,Isosceles triangle,Saddexagal labaal,
,Equilateral triangle,Saddexagal siman,
,Congruent triangles,Saddexagallo isku sar go'an,
,Base,Sal,
,Plane,Sallax,
,Quarterly,Sannad waaxdiiba,
,Transform,Sansaan qaad,
,Congruency,Sar go'aan,
,Numerator,Sareeye,
,Inconsistent,Sarmaseegto,
,Draw,Sawir,
,Sine,Sayn,Y
,Approximation,Seebid,
p-2-18,Wheel,Shaag,
,Hypotenuse,Shakaal,
,Figure,Shaxan,
,Plane figure,Shaxan sallaxle,
,Given,Siinama ogaal,
,Minus sign,Sumadda kala gooynta,
,Symbol,Summad,
,Multiplication sign,Summadda isku dhufashada,
,Division sign,Summadda qaybinta,
,Tangent,Taanjent,Y
,Inner product,Taran dhexe,
,List,Tax,
,Matrix,Taxane,
,Quality,Tayo,
,Expression,Tibaax,
,Term,Tibix,
,Braces,Tidic,
,Experiment,Tijaabo,
,Intercept,Tiraar,
,Number,Tiro,
,Even number,Tiro dhaban,
,Mixed numbers,Tiro dhafan,
,Composite number,Tiro farcanta,
,Whole number,Tiro idil,
,Odd number,Tiro kisi ah,
,Rational number,Tiro lakab,
,Irrational number,Tiro lakab la',
,Imaginary number,Tiro maangad ah,
,Real number,Tiro maangal ah,
,Negative number,Tiro taban,
,Positive number,Tiro togan,
,Infinity,Tirobeel,
,Mean,Tirosin (qiyaas),
,Natural number,Tirsiimo,
,Reference,Tixraac,
,Tenth,Tobnaad,
,Tenths,Tobneed,
p-2-19,Tens,Tobno,
,Cone,Toobin,
,Vector product,Tranleeb,
,Table,Tuse,
,Convex,Tuur,
,Equivalent,U dhigma,
,Express,U qor,
,Equidistant,U siman,
,Maximum,Ugu weynaan,
,Minimum,Ugu yaraan,
,Origin,Unug,
,Assumption,Uqaadasho,
,Set,Urur,
,Universal set,Urur guud,
,Finite set,Urur kooban,
,Null set,Urur madhan,
,Quadrant,Waax,
,Sum,Wadar,
,Symmetrical,Wanqaran,
,Divisible by,Way u qeybsantaa,
,Number sentence,Weedh tiro,
,Co-efficient,Weheliye,
,Major,Weyn,
,Rotate,Winiini,
,Limit,Xad,
,Quantity,Xaddi (tiro),
,Angle,Xagal,
,Reflex angle,Xagal daacsan,
,Exterior angle,Xagal debedded,
,Angle of depression,Xagal dhacsan,
,Acute angle,Xagal fiican,
,Obtuse angle,Xagal furan,
,Angle of elevations,Xagal kacsan,
,Right angle,Xagal quman,
,Corresponding angles,Xagle gudboon,
,Comparison,Xagle sidkan,
p-2-20,Diagonal,Xaglogooye,
,Verify,Xaqiiji,
,Line,Xariiq,
,Horizontal line,Xariiq jiifta,
,Straight line,Xariiq toosan,
,Curved line,Xariiq xoodan,
,Number line,Xariiqda tirada,
,Speed,Xawaare,
,Rule,Xeer,
,Closed,Xidhan,
,Algorithm,Xidhmayn,
,Root,Xidid,
,Square root,Xididka labajibaarka,
,Differentiate,Xig,
,Derivation,Xigsin,
,Differential,Xigtin,
,Relation,Xiriir,
,Curve,Xood,
,Components,Xubno,
,Centre,Xuddun,
,Reduction,Yarayn,
,Minor,Yare,
